Key,Type,Desc,English,German,French,Italian,Spanish,Japanese,Korean,Polish,Russian,Chinese (Simplified),Portuguese (Brazil),Chinese (Traditional)
PartModules/NextRelay/Name,Text,,Signal Relay,Signalrelais,Relais de signal,Ripetitore di Segnale,Relé de señal,信号中继,신호 중계기,Przekaźnik sygnału,Ретранслятор,信号中继,Relé de sinal,信号中继
PartModules/NextRelay/RelayDescription,Text,,This antenna behaves as a relay,Diese Antenne verhält sich wie ein Relais,Cette antenne se comporte comme un relais,Questa antenna si comporta da ripetitore,Esta antena se comporta como un relé,此天线作为中继,이 안테나는 중계기로 작동합니다,Ta antena działa jako przekaźnik,Эта антенна работает как реле,这款天线能够中继信号,Esta antena se comporta como um relé,此天线作为中继
PartModules/NextRelay/Band,Text,,Band,Band,Bande,Banda,Banda,频段,대역,Przepustka,Диапазон,频段,Banda,频段
PartModules/NextRelay/SecondaryBand,Text,,Secondary Band,Sekundärband,Bande secondaire,Banda Secondaria,Banda secundaria,次要频段,보조 대역,Druga przepustka,Вторичный диапазон,次要频段,Banda secundária,次要频段
PartModules/NextModulator/Name,Text,,Signal Modulator,Signalmodulator,Modulateur de signal,Modulatore di Segnale,Modulador de señal,信号调制器,신호 변조기,Modulator sygnału,Модулятор сигнала,信号调制器,Modulador de sinal,信号调制器
PartModules/NextModulator/Kind,Text,,Modulation kind,Modulationsart,Type de modulation,Tipo di modulazione,Tipo de modulación,调制类型,변조 종류,Rodzaj modulacji,Вид модуляции,调制类型,Tipo de modulação,调制类型
PartModules/NextModulator/KindMonoBand,Text,,Mono-band,Mono-Band,Mono-bande,Mono-banda,Mono-banda,单频段,단일 대역,Jednozakresowy,Моно-диапазон,单频段,Mono-banda,单频段
PartModules/NextModulator/KindDualBand,Text,,Dual-band,Dual-Band,Dual-bande,Dual-banda,Dual-banda,双频段,듀얼 대역,Dwuzakresowy,Двойной диапазон,双频段,Dual-banda,双频段
PartModules/NextModulator/KindOmniBand,Text,,Omni-band,Omni-Band,Omni-bande,Omni-banda,Omni-banda,全频段,옴니밴드,Omni-band,Омни-диапазон,全频段,Omni-banda,全频段
CommNext/UI/EnableRelay,Text,Enable relay,Enable relay,Relais aktivieren,Activer le relais,Abilita ripetitore,Activar relé,启用中继,릴레이 활성화,Włącz przekaźnik,Включить реле,启用中继,Ativar relé,启用中继
CommNext/UI/OmniBand,Text,,Omni-band,Omni-Band,Omni-bande,Omni-banda,Omni-banda,全频段,옴니밴드,Omni-band,Омни-диапазон,全频段,Omni-banda,全频段
CommNext/UI/ConnectionsDisplayModeNone,Text,Connections display mode: None,Disabled,Deaktiviert,Désactivé,Disabilitato,Desactivado,禁用,비활성화,Dezaktywowane,Отключено,禁用,Desativado,禁用
CommNext/UI/ConnectionsDisplayModeLines,Text,Connections display mode: Lines,All active connections,Alle aktiven Verbindungen,Toutes les connexions actives,Tutte le connessioni attive,Todas las conexiones activas,所有活动连接,모든 활성 연결,Wszystkie aktywne połączenia,Все активные соединения,所有活动连接,Todas as conexões ativas,所有活动连接
CommNext/UI/ConnectionsDisplayModeActive,Text,Connections display mode: Active,Active vessel path,Aktiver Schiffspfad,Chemin du vaisseau actif,Percorso del veicolo attivo,Ruta de la nave activa,活动船只路径,활성 선박 경로,Aktywna ścieżka statku,Активный путь судна,活动船只路径,Caminho da nave ativa,活动船只路径
CommNext/UI/RulersDisplayModeNone,Text,Rulers display mode: None,Disabled,Deaktiviert,Désactivé,Disabilitato,Desactivado,禁用,비활성화,Dezaktywowane,Отключено,禁用,Desativado,禁用
